::ffff:192.168.0.101 - - [24/Sep/2023:20:25:56 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:58 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:25:59 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:26:00 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:26:00 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::1 - - [24/Sep/2023:20:27:25 +0000] "POST /api/auth/login HTTP/1.1" 200 521 "-" "PostmanRuntime/7.33.0"
::1 - - [24/Sep/2023:20:28:05 +0000] "GET /api/user/get-user HTTP/1.1" 200 291 "-" "PostmanRuntime/7.33.0"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:18 +0000] "GET /api/user/get-follows HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:19 +0000] "GET /api/user/token-valid HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:24 +0000] "PUT /api/user/update-notification-id HTTP/1.1" 200 30 "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:25 +0000] "GET /api/chat/get-all-chats HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:26 +0000] "GET /api/services/all-posts?take=20&skip=0 HTTP/1.1" 304 - "-" "okhttp/4.9.2"
::ffff:192.168.0.101 - - [24/Sep/2023:20:28:26 +0000] "GET /api/user/get-user HTTP/1.1" 304 - "-" "okhttp/4.9.2"
